n.name,n.url,n.closeness
First Principles: The Building Blocks of True Knowledge,https://fs.blog/2018/04/first-principles/,0.5833968012185834
Second-Order Thinking: What Smart People Use to Outperform,https://fs.blog/2016/04/second-order-thinking/,0.5056105610561056
Predicting the Future with Bayes’s Theorem,https://fs.blog/2018/09/bayess-theorem/,0.5094778849351513
The Pygmalion Effect: Proving Them Right,https://fs.blog/2018/05/pygmalion-effect/,0.5926499032882011
Inversion and The Power of Avoiding Stupidity,https://fs.blog/2013/10/inversion/,0.5026246719160105
Multiplicative Systems: Understanding The Power of Multiplying by Zero,https://fs.blog/2016/08/multiplicative-systems/,0.501637197118533
"The Value of Probabilistic Thinking: Spies, Crime, and Lightning Strikes",https://fs.blog/2018/05/probabilistic-thinking/,0.5027896291434197
The Map Is Not the Territory,https://fs.blog/2015/11/map-and-territory/,0.5019659239842726
Thought Experiment: How Einstein Solved Difficult Problems,https://fs.blog/2017/06/thought-experiment-how-einstein-solved-difficult-problems/,0.504113195129977
The Danger of Oversimplification: How to Use Occam’s Razor Without Getting Cut,https://fs.blog/2017/05/mental-model-occams-razor/,0.5027896291434197
The Decision Matrix: How to Prioritize What Matters,https://fs.blog/2018/09/decision-matrix/,0.5191460521856998
Earning Your Stripes: My Conversation with Patrick Collison [The Knowledge Project #32],https://fs.blog/2018/05/patrick-collison/,0.5310225303292895
Understanding your Circle of Competence: How Warren Buffett Avoids Problems,https://fs.blog/2013/12/mental-model-circle-of-competence/,0.5022950819672131
"Hanlon’s Razor: Relax, Not Everything is Out to Get You",https://fs.blog/2017/04/mental-model-hanlons-razor/,0.5024598228927517
The Timeless Parable of Mr. Market,https://fs.blog/2013/11/mr-market/,0.501637197118533
The Disproportional Power of Anecdotes,https://fs.blog/2018/08/power-of-anecdotes/,0.5424929178470255
"[Episode #30] Company Culture, Collaboration and Competition: A Discussion With Margaret Heffernan",https://fs.blog/2018/03/margaret-heffernan/,0.547925608011445
Double Loop Learning: Download New Skills and Information into Your Brain,https://fs.blog/2018/06/double-loop-learning/,0.5217983651226158
Learning How to Think: The Skill No One Taught You,https://fs.blog/2015/08/william-deresiewicz-learn-how-to-think/,0.5024598228927517
Winner Takes it All: How Markets Favor the Few at the Expense of the Many,https://fs.blog/2018/09/mental-model-winner-take-all/,0.5088010627698439
"Deductive vs Inductive Reasoning: Make Smarter Arguments, Better Decisions, and Stronger Conclusions",https://fs.blog/2018/05/deductive-inductive-reasoning/,0.5052770448548812
Why Honor Matters,https://fs.blog/2018/08/why-honor-matters/,0.5219761499148211
The Work Required to Have an Opinion,https://fs.blog/2013/04/the-work-required-to-have-an-opinion/,0.5032851511169514
So Two Stoics Walk Into a Bar…,https://fs.blog/2018/03/seneca-epictetus-relationships/,0.5310225303292895
Complexity Bias: Why We Prefer Complicated to Simple,https://fs.blog/2018/01/complexity-bias/,0.5122032764961552
The Buffett Formula: Going to Bed Smarter Than you Woke Up,https://fs.blog/2013/05/the-buffett-formula-how-to-get-smarter/,0.5027896291434197
How to Remember What You Read,https://fs.blog/2017/10/how-to-remember-what-you-read/,0.5039473684210526
The Top 3 Most Effective Ways to Take Notes While Reading,https://fs.blog/2013/11/taking-notes-while-reading/,0.5024598228927517
Why You Should Stop Reading News,https://fs.blog/2013/12/stop-reading-news/,0.5021304490331039
Making Compassionate Decisions: The Role of Empathy in Decision Making,https://fs.blog/2017/12/against-empathy/,0.5235816814764184
The Power of Incentives: Inside the Hidden Forces That Shape Behavior,https://fs.blog/2017/10/bias-incentives-reinforcement/,0.5089700996677741
Why You Shouldn’t Slog Through Books,https://fs.blog/2017/09/shouldnt-slog-books/,0.5062789160608063
How the Many Sides to Every Story Shape our Reality,https://fs.blog/2018/10/shape-our-reality/,0.5037816507727721
Bayes and Deadweight: Using Statistics to Eject the Deadweight From Your Life,https://fs.blog/2018/01/bayes-deadweight/,0.5039473684210526
The Munger Operating System: How to Live a Life That Really Works,https://fs.blog/2016/04/munger-operating-system/,0.5018015067147068
The Necessity of Marginalia in the Age of the Ebook,https://fs.blog/2015/01/marginalia/,0.5024598228927517
Creating a Decision Journal: Template And Example Included,https://fs.blog/2014/02/decision-journal/,0.5021304490331039
Survival of the Kindest: Dacher Keltner Reveals the New Rules of Power,https://fs.blog/2018/03/dacher-keltner-power/,0.5147849462365591
Ted Williams: The Science of Hitting and What it can Teach you about Making Better Decisions,https://fs.blog/2013/07/make-better-decisions/,0.5018015067147068
"Blog Posts, Book Reviews, and Abstracts: On Shallowness",https://fs.blog/2017/02/on-shallowness/,0.5026246719160105
How Your Work Environment is Sapping You Dry (and How to Fix It),https://fs.blog/2013/12/your-environment-matters/,0.5024598228927517
5 Mental Models to Remove (Some of) the Confusion from Parenting,https://fs.blog/2018/08/parenting-mental-models/,0.5110073382254836
What Matters More in Decisions: Analysis or Process?,https://fs.blog/2013/03/what-matters-more-in-decisions-analysis-or-process/,0.5019659239842726
39 Books to Improve your Decision Making Skills,https://fs.blog/2015/06/books-on-decision-making/,0.5019659239842726
Three Filters Needed to Think Through Problems,https://fs.blog/2015/12/garrett-hardin-three-filters/,0.5019659239842726
This Time is Different: The Four Most Costly Words Ever Spoken,https://fs.blog/2014/01/this-time-is-different/,0.501637197118533
How People Make Big Decisions,https://fs.blog/2015/11/how-people-make-big-decision/,0.501637197118533
Why Bad Things Happen to Good Decisions,https://fs.blog/2012/10/what-happens-when-decisions-go-wrong/,0.5021304490331039
Keeping Things Simple and Tuning out Folly,https://fs.blog/2015/09/keeping-things-simple-and-tuning-out-folly/,0.501637197118533
An Ancient Lesson on Taking Responsibility For Decisions,https://fs.blog/2012/11/philosophy-of-responsibility/,0.501637197118533
The Anatomy of a Decision: An Introduction to Decision Making,https://fs.blog/2009/07/an-introduction-to-decision-making/,0.5018015067147068
The Feynman Technique: The Best Way to Learn Anything,https://fs.blog/2012/04/learn-anything-faster-with-the-feynman-technique/,0.5022950819672131
"Poker, Speeding Tickets, and Expected Value: Making Decisions in an Uncertain World",https://fs.blog/2018/01/expected-value/,0.5064462809917355
The Fairness Principle: How the Veil of Ignorance Helps Test Fairness,https://fs.blog/2017/10/veil-ignorance/,0.5088010627698439
How to Choose Your Next Book,https://fs.blog/2013/08/choose-your-next-book/,0.5036160420775806
